2,,назва,,ціна долар,ціна грн.,,,ціна для продажу,Опт.,ціна для продажу 2 (50%),ціна для продажу 3 (45%),ціна для продажу 4 (30%),,,,,,,,,,
,10091,"Сопда V5 V6 E3D з внутрішнім діаметром 0,4 мм",,"0,2128333333","8,939","11,17375","15,419775","14,266644","12,5146","12,8399796","13,4085","15,06444975","15,13484438","4,531011494",,,,,,15,"147,4935",
,10092,"Хотенд V5 до 3д принтера Anycubic I3 Mega, Mega-S з радіатором і силіконовим чохлом",,"2,77","116,34","145,425","200,6865","185,67864","162,876","167,110776","174,51","196,061985","196,9781625","58,97056463","154,7322","139,25898","22,91898","0,1481203008",,,,
,10093,Хотенд для Ender-3 V3 SE з біметалевим горлом та сталевим соплом,,"7,85","329,7","412,125","568,7325","526,2012","461,58","473,58108","494,55","1,5",549,"109,5",153,"0,1994535519",,,,,,
,10094,"Хотенд для 3d принтера Anycubic Kobra 2, Kobra 2 Plus, Kobra 2 Pro, Kobra 2 Neo + силіконовий носок Hhiddo",,"5,25","220,5","275,625","380,3625","351,918","308,7","316,7262","330,75","371,597625","373,3340625","111,7673156",,,,,,1,,
,10095,"хотенд для 3д принтера Creality K1 K1 Max з керамічним агрівачем, біметалевим горлом Hhiddo",,"5,91","248,22","310,275","428,1795","396,15912","347,508","356,543208","310,275",1155,"322,686","38,97054","354,45",,,,,,,
,10096,"Хотэнд для 3d принтера  Elegoo Neptune 3 Pro, 3 Plus, 3 max",,"8,25","346,5","433,125","597,7125","553,014","485,1","497,7126","519,75","583,939125","586,6678125","175,6343531",,,,,,,,
,10097,"Хотенд для 3д принтера VORON V0.1, V2.4, Prusa i3 MK2S, MK3 без нагрівального блока",,"15,4","646,8","808,5","1115,73","1032,2928","905,52","929,06352","970,2","1090,0197","1095,11325","327,8507925",,,,,,,,
,10098,"Тефлонова трубка для 3д принтера для нитки 0,7 мм + 2 фіттинга PC4-M6 + 2 фіттинга PC4-M10",,"1,6","67,2",84,"115,92","107,2512","94,08","96,52608","100,8","113,2488","8,064","0,08571428571",,,,,,,,
,10099,Мідна щітка для чистки сопла і нагрівального блока 3д принтера,,1,42,"52,5","72,45","67,032","58,8","60,3288",63,"70,7805","71,11125","21,2890125",,,,,,,,
,10100,"Ніж для обробки пластикових деталей, виготовлених на 3д принтері",,"1,6","67,2",84,"115,92","107,2512","94,08","96,52608","100,8","113,2488","113,778","34,06242",,,,,,,,
,10101,Хотенд SINGRLIGOD для 3д принтера з двома філаментами Ender-3 CR 10,,"6,674","280,308","350,385","483,5313","447,371568","392,4312","402,6344112","420,462","472,389057","474,5964825","-144,1834275",,https://www.aliexpress.com/item/1005005038756885.html?spm=a2g0o.order_detail.order_detail_item.3.7bf4f19c02WWj5,,,,,,
,10102,"Столик з підігрівом Creality для 3д принтера Ender-3 Ender-3 V2, 235*235 мм 24 V",,25,1050,"1312,5","1811,25","1675,8",1470,"1508,22",1575,"1769,5125","1777,78125","-540,09375","1396,5","1256,85","206,85","0,1481203008",,,,
,10103,Платформа KINGROON з підігрівом для 3д принтера MK3 220x220x3 mm,,"13,5",567,"708,75","978,075","904,932","793,8","814,4388","850,5","955,53675","960,001875","-291,650625",,,,,,,,
,10104,Ремкомплект екструдера BMG з подвійним приводом,,"3,695","155,19","193,9875","267,70275","247,68324","217,266","222,914916","232,785","296,4051405","262,7560688","-79,82585625",,,,,,,,
,10105,"Игла T-Trees для прочистки сопел 3d принтера 0,2 мм (1 футляр - 10 шт)",,"0,7","29,4","36,75","50,715","46,9224","41,16","42,23016","44,1","56,15253","49,777875","-15,122625",,,,,,,,
,10106,"Игла T-Trees для прочистки сопел 3d принтера 0,2 5 мм (1 футляр - 10 шт)",,"0,7","29,4","36,75","50,715","46,9224","41,16","42,23016","44,1","56,15253","49,777875","-15,122625",,,,,,,,
,10107,"Голка T-Trees для прочистки сопел 3d принтера 0,3 мм (1 футляр - 10 шт)",,"0,7","29,4","36,75","50,715","46,9224","41,16","42,23016","44,1","56,15253","49,777875","-15,122625",,,,,,,,
,10108,"Голка T-Trees для прочистки сопел 3d принтера 0,35 мм (1 футляр - 10 шт)",,"0,7","29,4","36,75","50,715","46,9224","41,16","42,23016","44,1","56,15253","49,777875","-15,122625",,,,,,,,
,10109,"Голка T-Trees для прочистки сопел 3d принтера 0,4 мм (1 футляр - 10 шт)",,"0,6","25,2","31,5","43,47","40,2192","35,28","36,19728","37,8","48,13074","42,66675","-12,96225",,,,,,,,
,10110,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
,10111,Набір ножів IdeaFormer для очищення виробів 3D-друку 13 предметів,,5,210,"262,5","362,25","335,16",294,"301,644",315,"401,0895","355,55625","-108,01875",,,,,,,,
,10112,"Шестерня Creativity  для екструдера  Titan Aero Idler Arm Gear
",,"2,74","115,08","143,85","198,513","183,66768","161,112","165,300912","172,62","219,797046","194,844825","-59,194275",,,,,,,,
,10113,Електричний штангенциркуль з цифровим дисплеєм,,"2,19","91,98","114,975","158,6655","146,80008","128,772","132,120072","137,97","175,677201","155,7336375","-47,3122125",,,,,,,,
,10114,високотемпературне біметалеве горло T-Trees для 3д принтерів з хотнедом типу E3D V6 ,,"1,654","69,468","86,835","119,8323","110,870928","97,2552","99,7838352","104,202","132,6804066","117,6180075","-35,7326025",,,,,,,,
,10115,"Новый легкий экструдер Matrix Extruder Lite и хотенд от RS Trianglelab для Ender 3, Prusa, CR10, ANET, Artillery Sidewinder x1, BLV BEAR",,"78,12","3281,04","4101,3","5659,794","5236,53984","4593,456","4712,885856","4921,56","6266,622348","5555,21085","-1687,68495",,,,,,,,
,10116,"Вискокшвидкісний екструдер KINGROON TITAN AERO в брірці з ходендом і кареткою для 3д принтерів Ender 3, CR10",,"38,5",1617,"2021,25","2789,325","2580,732","2263,8","2322,6588","2425,5","3088,38915","2737,783125","-831,744375",,,,,,,,
,10117,"Сопло для 3d принтера Flying Bear Ghost 6, 0,3",,"3,035","127,47","159,3375","219,88575","203,44212","178,458","183,097908","191,205","243,4613265","215,8226438","-65,56738125",,,,,,,,
,10118,"Сопло для 3d принтера Flying Bear Ghost 6, 0,6",,"3,035","127,47","159,3375","219,88575","203,44212","178,458","183,097908","191,205","243,4613265","215,8226438","-65,56738125",,,,,,,,
